article_link,headline,published_date,standfirst,tags
https://www.ft.com/content/b4925984-821c-45ef-91db-dadc1e30d1e2,El Salvador’s bet on ,2021-09-08 17:14:12+00:00,...El Salvador’s ,Cryptocurrencies
https://www.ft.com/content/8f2deb75-939f-463b-a6ff-211f0be62318,Silicon Valley’s unhealthy obsessions,2021-09-08 16:11:00+00:00,"...to be solved. The Internet of (Five) Things
						
						1. El Salvador’s ",#techFT
https://www.ft.com/content/fd65b82e-9e43-4e22-b32d-18eea9dd8cec,Coinbase: SEC fight plays to the crypto crowd ,2021-09-08 14:51:25+00:00,Trading app’s intended audience may not be regulators at all,Coinbase
https://www.ft.com/content/8b61c731-073f-46f1-b031-e7393a9e1262,FirstFT: Fed official pushes for quick ‘taper’,2021-09-08 10:31:44+00:00,"...reading FirstFT — GordonFive more stories in the news
						
						1. El Salvador’s ",FirstFT
https://www.ft.com/content/124d2fa4-3d89-46cb-b126-4602855acfe4,Morrison in talks with Takeover Panel over competing offers,2021-09-08 07:39:49+00:00,"...it said.Beyond the Square Mile
						
						El Salvador’s pioneering adoption of ",City Bulletin
https://www.ft.com/content/14df1206-bdc6-4f1c-870a-e12748e95c31,SEC threatens to sue Coinbase over lending product,2021-09-08 07:13:02+00:00,Cryptocurrency exchange’s chief accuses US regulator of ‘sketchy behaviour’,Coinbase
https://www.ft.com/content/56f1f053-3ac1-424a-97d6-6bbf9a12fa1d,El Salvador’s ,2021-09-07 19:12:04+00:00,...El Salvador’s pioneering adoption of ,Bitcoin
https://www.ft.com/content/49b26002-6a7f-4097-9329-d283c8475c39,Bitcoin,2021-09-07 12:53:36+00:00,"...economy of an impoverished Central American nation, the first country to embrace ",Bitcoin
https://www.ft.com/content/be788cb3-cbf9-4588-9c7c-5f974b5843c4,FirstFT: A shift in America’s policy response to coronavirus,2021-09-07 10:12:00+00:00,...Salvador will today become the first country in the world to make ,FirstFT
https://www.ft.com/content/c257a925-c864-4495-9149-d8956d786310,El Salvador’s dangerous gamble on ,2021-09-07 08:14:10+00:00,...boldness. A campaign on social media invites supporters to buy $30 in ,The editorial board
https://www.ft.com/content/768cdb61-a131-42de-b8d6-42c3c757cb82,Why developing countries are so keen on cryptocurrencies,2021-09-07 04:00:51+00:00,...Salvador will today become the first country in the world to make ,Transcript
https://www.ft.com/content/de220db7-70aa-4b7d-ba50-175c3ca9aff9,The hottest of hot spaces at the peakiest of market peaks,2021-09-07 04:00:51+00:00,"...to secure long-term financing. (FT)
						
						Calling all conservatives 22-year-old ",Due Diligence
https://www.ft.com/content/53fa7bcf-fb34-49fc-b4a8-e85054e579be,Keeping up with Kardashians on crypto,2021-09-06 17:38:04+00:00,"...appearance at number eight in 2021. Separate data from UsefulTulips.org, tracking ",#techFT
https://www.ft.com/content/56588fee-dca8-450d-a848-80d29f02f45e,El Salvador becomes a crypto laboratory with ,2021-09-06 10:00:48+00:00,"...Like millions of Salvadorans, chauffeur Ricardo López has spent the past few weeks trying to get his head around ",Bitcoin
https://www.ft.com/content/a3d35090-87c6-4734-9c37-afbb973c9487,FirstFT: Global dealmaking set to break records,2021-09-06 09:42:03+00:00,...are signs that digital coins are building deeper roots. Here’s how ,FirstFT
https://www.ft.com/content/e61a786a-53cd-4210-a31f-d9b1482f3106,Cyber slavery: inside Cambodia’s online scam gangs,2021-09-05 22:00:48+00:00,"...women in China, gain their trust and entice them to invest in ",Nikkei Asia
https://www.ft.com/content/1ea829ed-5dde-4f6e-be11-99392bdc0788,Cryptocurrencies: developing countries provide fertile ground,2021-09-05 04:00:44+00:00,"...In Lagos, Nigeria’s commercial capital, a software coder bills her client in London and is paid in ",The Big Read
https://www.ft.com/content/1f8945ce-1af7-4545-b060-d538bb7b7ac8,"Crypto firms snap up ex-regulators, but some struggle to keep them",2021-09-03 20:30:30+00:00,"...be largely captured by existing securities regulation, unlike some cryptocurrencies such as ",Cryptocurrencies
https://www.ft.com/content/2afd8d71-a7bb-48c9-9357-2aa1be8146d6,Rising house prices offset higher building costs at Berkeley,2021-09-03 07:45:25+00:00,"...the London main-market listed cryptocurrency miner, said it had mined 206 ",City Bulletin
https://www.ft.com/content/51bd8762-8a64-4509-88af-2c07dcffb622,Watch Register helps to beat the timepiece thieves,2021-09-03 03:00:18+00:00,...cryptocurrency fraud registration: a high-value watch had been fraudulently obtained using ,Watches and Jewellery: September
https://www.ft.com/content/ac8c3b93-28eb-4301-a37c-d2acdde3fcae,Digital currencies: global payments could bypass legacy banks,2021-09-02 14:30:04+00:00,"...of stress.
						
						There will be no overnight revolution. It is notable that ",Digital currencies
https://www.ft.com/content/39c5ef2b-c69c-4611-88f5-f5a7f611d8c8,NFTs transform the art market for young novice buyers,2021-09-02 03:00:26+00:00,"...funds. But if they are sure of the authentication, investors who trust ",FT Wealth: September 2021
